"period","utilization","capacity","durable","nondurable"
1980-07-01,"77.7734","64.4810","30.7712","71.0456"
1980-08-01,"77.9119","64.6191","30.9820","71.7641"
1980-09-01,"79.0005","64.7611","31.6091","72.6473"
1980-10-01,"79.8041","64.9071","32.4098","73.3509"
1980-11-01,"80.9945","65.0574","33.2566","73.9728"
1980-12-01,"81.2784","65.2105","33.1982","74.6666"
1981-01-01,"80.6368","65.3661","33.0246","74.6651"
1981-02-01,"80.0492","65.5259","32.7868","74.3992"
1981-03-01,"80.2709","65.6882","32.9856","74.3906"
1981-04-01,"79.7195","65.8508","33.2889","74.3518"
1981-05-01,"80.0079","66.0153","33.3936","74.8501"
1981-06-01,"80.1689","66.1813","33.2054","74.4681"
1981-07-01,"80.4942","66.3468","33.2008","74.8664"
1981-08-01,"80.2643","66.5112","33.2251","74.8700"
1981-09-01,"79.5694","66.6744","32.9801","74.7371"
1981-10-01,"78.8339","66.8355","32.6120","74.2143"
1981-11-01,"77.7493","66.9939","31.9909","73.8704"
1981-12-01,"76.7112","67.1478","31.3657","72.7816"
1982-01-01,"75.0339","67.2964","30.3616","71.8432"
1982-02-01,"76.3675","67.4412","31.1860","73.8879"
1982-03-01,"75.6374","67.5792","30.8708","73.4498"
1982-04-01,"74.8228","67.7088","30.6951","72.8404"
1982-05-01,"74.2250","67.8303","30.5912","72.9245"
1982-06-01,"73.8586","67.9433","30.3576","73.4415"
1982-07-01,"73.5277","68.0456","30.3329","73.3888"
1982-08-01,"72.8037","68.1364","29.7828","73.6097"
1982-09-01,"72.4889","68.2158","29.5430","73.9961"
1982-10-01,"71.7770","68.2842","28.9186","73.9774"
1982-11-01,"71.4343","68.3417","28.6759","73.5725"
1982-12-01,"70.8773","68.3892","28.7781","72.6454"
1983-01-01,"72.1896","68.4277","29.4928","74.4220"
1983-02-01,"71.7127","68.4592","29.5377","74.1292"
1983-03-01,"72.2656","68.4847","29.9169","74.5178"
1983-04-01,"73.1172","68.5060","30.2328","75.4678"
1983-05-01,"73.6065","68.5258","30.7284","76.1598"
1983-06-01,"74.0021","68.5461","31.0598","76.4974"
1983-07-01,"75.1129","68.5691","31.7041","77.1558"
1983-08-01,"75.9015","68.5978","32.0096","77.4859"
1983-09-01,"77.0239","68.6341","32.7957","78.5135"
1983-10-01,"77.5892","68.6795","33.3435","78.7813"
1983-11-01,"77.7863","68.7353","33.5286","78.9060"
1983-12-01,"78.1043","68.8017","33.8758","78.4242"
1984-01-01,"79.5911","68.8795","34.6599","79.3881"
1984-02-01,"79.8510","68.9689","35.1748","79.7720"
1984-03-01,"80.1087","69.0701","35.3391","80.1256"
1984-04-01,"80.4982","69.1826","35.5992","80.3674"
1984-05-01,"80.7253","69.3064","35.6819","80.5522"
1984-06-01,"80.8485","69.4414","35.9391","80.6125"
1984-07-01,"80.9637","69.5853","36.2674","80.5125"
1984-08-01,"80.8206","69.7370","36.4791","80.0623"
1984-09-01,"80.5049","69.8953","36.3337","80.0696"
1984-10-01,"80.2029","70.0594","36.4450","80.4273"
1984-11-01,"80.3212","70.2284","36.6855","80.3317"
1984-12-01,"80.2009","70.4000","36.8715","80.4416"
1985-01-01,"79.8232","70.5741","36.7399","80.0806"
1985-02-01,"79.9520","70.7493","36.5057","80.0614"
1985-03-01,"79.8781","70.9236","36.8927","80.3707"
1985-04-01,"79.4769","71.0945","36.5992","80.4952"
1985-05-01,"79.3908","71.2613","36.6333","80.7567"
1985-06-01,"79.2702","71.4226","36.7728","80.6812"
1985-07-01,"78.5704","71.5752","36.5437","80.2362"
1985-08-01,"78.7352","71.7185","36.7956","80.5816"
1985-09-01,"78.9430","71.8516","36.7041","81.1903"
1985-10-01,"78.4835","71.9743","36.6438","80.8804"
1985-11-01,"78.6337","72.0862","37.0125","81.0728"
1985-12-01,"79.3325","72.1874","37.1315","81.5318"
1986-01-01,"79.6153","72.2788","37.5205","82.5372"
1986-02-01,"78.9765","72.3614","37.3003","82.2080"
1986-03-01,"78.3724","72.4369","37.2576","81.7419"
1986-04-01,"78.3445","72.5071","37.2326","82.1478"
1986-05-01,"78.4075","72.5756","37.1802","82.6055"
1986-06-01,"78.0993","72.6450","36.9796","82.5927"
1986-07-01,"78.4242","72.7174","37.2616","82.6242"
1986-08-01,"78.2580","72.7956","37.3082","83.1842"
1986-09-01,"78.3071","72.8816","37.4696","83.0980"
1986-10-01,"78.5634","72.9769","37.4540","83.9003"
1986-11-01,"78.8039","73.0823","37.6330","84.2584"
1986-12-01,"79.3566","73.1969","37.9805","84.9395"
1987-01-01,"78.9773","73.3199","37.9418","84.4681"
1987-02-01,"79.8420","73.4525","38.6257","85.2930"
1987-03-01,"79.8315","73.5927","38.5987","85.4892"
1987-04-01,"80.1711","73.7376","38.8314","86.0013"
1987-05-01,"80.5250","73.8852","39.0334","86.8493"
1987-06-01,"80.7447","74.0327","39.1418","87.1846"
