"period","nonrevolving","revolving","student"
1982-12-01,"323500.44","66348.30",NA
1983-01-01,"325101.49","66726.23",NA
1983-02-01,"325604.76","66756.20",NA
1983-03-01,"328041.51","67541.54",NA
1983-04-01,"330023.37","68403.34",NA
1983-05-01,"331068.19","68885.53",NA
1983-06-01,"334551.80","70280.80",NA
1983-07-01,"337934.87","71540.34",NA
1983-08-01,"341427.64","72565.93",NA
1983-09-01,"344257.06","73563.89",NA
1983-10-01,"348650.84","75122.16",NA
1983-11-01,"353190.44","76786.94",NA
1983-12-01,"358041.61","79027.25",NA
1984-01-01,"362877.19","79113.94",NA
1984-02-01,"371202.54","80704.49",NA
1984-03-01,"373493.07","83057.09",NA
1984-04-01,"377814.15","84327.07",NA
1984-05-01,"385354.23","87090.05",NA
1984-06-01,"391575.58","89418.95",NA
1984-07-01,"396763.13","90385.67",NA
1984-08-01,"401685.95","92431.69",NA
1984-09-01,"404024.49","94471.91",NA
1984-10-01,"408425.54","96233.11",NA
1984-11-01,"412018.18","98135.90",NA
1984-12-01,"416893.35","100385.63",NA
1985-01-01,"421137.53","102841.83",NA
1985-02-01,"427107.96","105340.46",NA
1985-03-01,"433806.83","107950.35",NA
1985-04-01,"439280.32","110068.39",NA
1985-05-01,"444685.77","111156.29",NA
1985-06-01,"448811.12","112395.48",NA
1985-07-01,"453518.69","114134.31",NA
1985-08-01,"457305.61","115993.70",NA
1985-09-01,"463812.23","118336.14",NA
1985-10-01,"468071.40","120236.06",NA
1985-11-01,"471931.33","122546.42",NA
1985-12-01,"475245.43","124465.80",NA
1986-01-01,"478614.71","127088.32",NA
1986-02-01,"481880.73","128797.56",NA
1986-03-01,"483198.63","130177.99",NA
1986-04-01,"487617.38","132040.35",NA
1986-05-01,"492220.85","133599.11",NA
1986-06-01,"495646.39","134409.45",NA
1986-07-01,"499489.88","135661.07",NA
1986-08-01,"502045.82","136858.57",NA
1986-09-01,"508775.79","137247.37",NA
1986-10-01,"514880.75","138906.54",NA
1986-11-01,"513804.18","139963.12",NA
1986-12-01,"513682.08","141068.15",NA
1987-01-01,"512159.61","141107.87",NA
1987-02-01,"510108.35","142423.95",NA
1987-03-01,"508095.94","143101.73",NA
1987-04-01,"510909.57","145491.85",NA
1987-05-01,"511163.53","147306.50",NA
1987-06-01,"513063.70","149833.79",NA
1987-07-01,"515262.37","152397.41",NA
1987-08-01,"518353.94","153871.20",NA
1987-09-01,"519750.26","156460.89",NA
1987-10-01,"523110.13","158074.33",NA
1987-11-01,"526691.09","158018.95",NA
1987-12-01,"525464.86","160853.91",NA
1988-01-01,"527589.06","164681.90",NA
1988-02-01,"530429.96","165957.33",NA
1988-03-01,"533175.30","167525.90",NA
1988-04-01,"536777.32","169090.73",NA
1988-05-01,"539296.28","170749.58",NA
1988-06-01,"540226.01","172963.18",NA
1988-07-01,"542093.75","174019.27",NA
1988-08-01,"545666.66","175868.92",NA
1988-09-01,"545467.57","177480.12",NA
1988-10-01,"546273.18","179832.14",NA
1988-11-01,"546648.97","183011.11",NA
1988-12-01,"547324.64","184593.12",NA
1989-01-01,"563300.01","185723.07",NA
1989-02-01,"565278.20","187614.80",NA
1989-03-01,"569094.25","190924.09",NA
1989-04-01,"571570.85","193141.59",NA
1989-05-01,"574119.72","195155.98",NA
1989-06-01,"575543.16","197683.95",NA
1989-07-01,"576731.26","199528.82",NA
1989-08-01,"577013.90","201862.61",NA
1989-09-01,"578645.11","203176.98",NA
1989-10-01,"580619.79","204925.86",NA
1989-11-01,"582671.95","207625.30",NA
1989-12-01,"583382.34","211229.83",NA
1990-01-01,"584067.42","213647.44",NA
