"period","nonrevolving","revolving","student"
2000-08-01,"995593.51","656021.89",NA
2000-09-01,"1007004.00","661996.81",NA
2000-10-01,"1016651.17","667948.15",NA
2000-11-01,"1026949.80","673994.74",NA
2000-12-01,"1034323.35","682646.37",NA
2001-01-01,"1043090.18","686761.50",NA
2001-02-01,"1050719.51","697982.51",NA
2001-03-01,"1057981.07","702560.77",NA
2001-04-01,"1065651.31","707447.02",NA
2001-05-01,"1071586.95","709590.51",NA
2001-06-01,"1080365.55","712002.55",NA
2001-07-01,"1089460.56","707890.02",NA
2001-08-01,"1099667.70","706691.34",NA
2001-09-01,"1106989.75","707262.63",NA
2001-10-01,"1124431.74","705408.52",NA
2001-11-01,"1145184.05","712658.74",NA
2001-12-01,"1153012.14","714840.73",NA
2002-01-01,"1152637.20","714781.50",NA
2002-02-01,"1167083.27","714822.10",NA
2002-03-01,"1174734.29","719956.04",NA
2002-04-01,"1178730.28","725227.70",NA
2002-05-01,"1186249.89","728364.10",NA
2002-06-01,"1194367.60","732813.38",NA
2002-07-01,"1202946.94","736264.46",NA
2002-08-01,"1207010.64","740489.45",NA
2002-09-01,"1207325.03","743326.36",NA
2002-10-01,"1209211.73","747939.58",NA
2002-11-01,"1215272.90","749906.22",NA
2002-12-01,"1221164.76","750947.45",NA
2003-01-01,"1227771.91","754789.40",NA
2003-02-01,"1234804.35","758601.34",NA
2003-03-01,"1241552.94","759655.21",NA
2003-04-01,"1253347.35","760752.43",NA
2003-05-01,"1263797.77","763704.74",NA
2003-06-01,"1269453.53","763814.88",NA
2003-07-01,"1275675.74","764388.66",NA
2003-08-01,"1282799.94","766324.40",NA
2003-09-01,"1291048.87","766041.92",NA
2003-10-01,"1299959.91","765535.19",NA
2003-11-01,"1301392.17","765007.92",NA
2003-12-01,"1309102.38","768258.31",NA
2004-01-01,"1317570.54","770672.50",NA
2004-02-01,"1322978.09","772362.27",NA
2004-03-01,"1331627.84","778092.48",NA
2004-04-01,"1337161.36","775554.79",NA
2004-05-01,"1342750.50","778088.65",NA
2004-06-01,"1348258.19","779731.22",NA
2004-07-01,"1351005.83","786087.14",NA
2004-08-01,"1356423.46","787011.66",NA
2004-09-01,"1366512.48","793635.81",NA
2004-10-01,"1380022.85","796696.49",NA
2004-11-01,"1386561.38","797184.97",NA
2004-12-01,"1392693.99","799552.18",NA
2005-01-01,"1392141.86","804635.76",NA
2005-02-01,"1407451.42","804107.29",NA
2005-03-01,"1415559.22","804639.97",NA
2005-04-01,"1421976.98","810558.39",NA
2005-05-01,"1423459.97","809211.55",NA
2005-06-01,"1433651.78","814181.65",NA
2005-07-01,"1442322.48","814908.46",NA
2005-08-01,"1449202.47","817842.41",NA
2005-09-01,"1451981.53","819651.75",NA
2005-10-01,"1455760.47","821082.67",NA
2005-11-01,"1457783.19","825878.08",NA
2005-12-01,"1461409.78","829518.36",NA
2006-01-01,"1491671.26","879107.10",NA
2006-02-01,"1494207.12","884591.14",NA
2006-03-01,"1501555.39","887741.08","477599.24"
2006-04-01,"1508377.54","892142.67",NA
2006-05-01,"1512994.67","898025.20",NA
2006-06-01,"1503536.31","896437.14","483568.45"
2006-07-01,"1509271.61","899397.27",NA
2006-08-01,"1517265.76","904701.98",NA
2006-09-01,"1525270.97","908036.58","506649.67"
2006-10-01,"1522503.84","911693.75",NA
2006-11-01,"1529284.13","916843.50",NA
2006-12-01,"1537288.07","923998.78","517149.64"
2007-01-01,"1539204.43","927567.48",NA
2007-02-01,"1546140.59","932713.92",NA
2007-03-01,"1553417.31","938817.56","540353.67"
2007-04-01,"1558802.35","941618.03",NA
2007-05-01,"1566841.76","950213.88",NA
2007-06-01,"1573924.94","953799.46","544449.38"
2007-07-01,"1583709.27","960635.41",NA
2007-08-01,"1593292.78","970130.91",NA
2007-09-01,"1600435.64","977516.22","572166.72"
2007-10-01,"1606045.19","985094.71",NA
2007-11-01,"1611575.25","995011.28",NA
2007-12-01,"1613118.36","1002001.30","583838.31"
2008-01-01,"1621575.43","1008602.96",NA
2008-02-01,"1629553.83","1015176.71",NA
2008-03-01,"1636064.70","1018728.40","613171.12"
2008-04-01,"1642447.67","1021244.98",NA
2008-05-01,"1646965.06","1020131.76",NA
2008-06-01,"1650888.85","1020648.51","620213.99"
2008-07-01,"1654467.33","1021206.03",NA
2008-08-01,"1652268.95","1019152.74",NA
2008-09-01,"1652653.08","1014132.55","651468.98"
2008-10-01,"1649150.17","1018639.59",NA
2008-11-01,"1648969.08","1010922.41",NA
2008-12-01,"1645691.34","1004358.04","665776.77"
2009-01-01,"1650492.04","1007106.58",NA
2009-02-01,"1649300.34","997876.00",NA
2009-03-01,"1644475.56","985900.62","696290.35"
2009-04-01,"1640834.29","981177.35",NA
2009-05-01,"1647330.17","968283.07",NA
2009-06-01,"1633191.44","964515.36","700654.89"
2009-07-01,"1633215.74","961314.32",NA
2009-08-01,"1632273.77","951850.14",NA
2009-09-01,"1629334.78","947715.17","734417.74"
2009-10-01,"1633246.53","940494.85",NA
2009-11-01,"1631987.59","925270.78",NA
2009-12-01,"1635860.65","916414.63","760039.58"
2010-01-01,"1630941.89","909769.26",NA
2010-02-01,"1627063.12","902837.91",NA
2010-03-01,"1637105.71","899180.99","788429.00"
2010-04-01,"1636264.65","894797.00",NA
2010-05-01,"1638421.36","885102.47",NA
2010-06-01,"1642128.43","877763.78","799277.65"
2010-07-01,"1643863.16","872213.34",NA
2010-08-01,"1650714.71","866324.29",NA
2010-09-01,"1659985.05","860608.22","834439.42"
2010-10-01,"1675474.34","854685.16",NA
2010-11-01,"1680935.87","850982.76",NA
2010-12-01,"1807385.87","839491.67","843900.82"
2011-01-01,"1819632.85","835712.44",NA
2011-02-01,"1830509.51","834305.63",NA
2011-03-01,"1837483.98","836088.03","890734.32"
2011-04-01,"1847658.37","832443.32",NA
2011-05-01,"1853306.12","834255.45",NA
2011-06-01,"1859136.72","836801.11","898911.31"
2011-07-01,"1883237.65","836085.03",NA
2011-08-01,"1875996.83","836437.36",NA
2011-09-01,"1884614.36","837993.30","936853.36"
2011-10-01,"1888224.22","838138.95",NA
2011-11-01,"1902528.19","842839.88",NA
2011-12-01,"1914197.09","841244.19","943045.66"
2012-01-01,"1927369.61","841280.08",NA
2012-02-01,"1935543.99","842174.80",NA
2012-03-01,"1950845.72","840877.28","990854.45"
2012-04-01,"1966094.41","839165.60",NA
2012-05-01,"1980001.12","844731.13",NA
2012-06-01,"1996610.33","843239.40","1007677.82"
2012-07-01,"2005771.29","841238.63",NA
2012-08-01,"2020090.00","846046.09",NA
2012-09-01,"2031758.66","845539.30","1037858.46"
2012-10-01,"2046449.11","848190.22",NA
2012-11-01,"2061345.96","850450.10",NA
2012-12-01,"2076968.56","845913.82","1050731.08"
2013-01-01,"2089590.28","848652.20",NA
2013-02-01,"2107305.77","850441.20",NA
2013-03-01,"2118175.26","848058.67","1088337.56"
2013-04-01,"2129321.79","849409.57",NA
2013-05-01,"2142476.72","852556.30",NA
2013-06-01,"2155294.24","851387.53","1095886.93"
2013-07-01,"2169227.82","852156.79",NA
2013-08-01,"2184058.27","853828.51",NA
2013-09-01,"2200654.12","854608.70","1130378.77"
2013-10-01,"2215924.40","857236.76",NA
2013-11-01,"2227307.55","856252.23",NA
2013-12-01,"2240635.11","858176.84","1141458.71"
2014-01-01,"2254344.99","859709.39",NA
2014-02-01,"2269834.77","859703.38",NA
2014-03-01,"2286383.57","860927.98","1177837.15"
2014-04-01,"2303149.39","870981.53",NA
2014-05-01,"2320056.77","873135.07",NA
2014-06-01,"2335982.12","875772.80","1187017.58"
2014-07-01,"2352829.85","880332.42",NA
2014-08-01,"2367917.48","881418.61",NA
2014-09-01,"2384021.20","883433.21","1221134.10"
2014-10-01,"2399281.47","884818.76",NA
2014-11-01,"2414460.31","886063.63",NA
2014-12-01,"2427238.97","889976.12","1230070.17"
2015-01-01,"2439277.09","888329.60",NA
2015-02-01,"2456599.63","885974.55",NA
2015-03-01,"2472599.85","890879.38","1265107.16"
2015-04-01,"2485427.40","899414.10",NA
2015-05-01,"2500375.06","900985.94",NA
2015-06-01,"2515576.78","906524.50","1266073.46"
